"puissance","longueur","nbPlaces","nbPortes","cluster","categoryName"
170,"longue",5,5,1,"longue5po5pl"
272,"très longue",5,5,2,"tresLongue5pl5po"
150,"moyenne",5,5,3,"moyenne5pl5po"
75,"courte",5,5,4,"courte5pl5po"
193,"très longue",5,5,2,"tresLongue5pl5po"
135,"moyenne",5,5,3,"moyenne5pl5po"
136,"moyenne",5,5,3,"moyenne5pl5po"
150,"longue",5,5,1,"longue5po5pl"
197,"longue",5,5,1,"longue5po5pl"
507,"très longue",5,5,2,"tresLongue5pl5po"
125,"longue",5,5,1,"longue5po5pl"
110,"moyenne",5,5,3,"moyenne5pl5po"
55,"courte",5,3,5,"courte5pl3po"
147,"longue",5,5,1,"longue5po5pl"
245,"très longue",5,5,2,"tresLongue5pl5po"
65,"courte",5,5,4,"courte5pl5po"
306,"très longue",5,5,2,"tresLongue5pl5po"
102,"longue",5,5,1,"longue5po5pl"
58,"courte",5,3,5,"courte5pl3po"
109,"longue",5,5,1,"longue5po5pl"
90,"moyenne",5,5,3,"moyenne5pl5po"
115,"moyenne",5,5,3,"moyenne5pl5po"
200,"très longue",5,5,2,"tresLongue5pl5po"
115,"courte",5,5,4,"courte5pl5po"
90,"courte",5,3,5,"courte5pl3po"
150,"longue",7,5,6,"longue7pl5po"
165,"longue",7,5,6,"longue7pl5po"
103,"longue",7,5,6,"longue7pl5po"
125,"longue",7,5,6,"longue7pl5po"
