"puissance","longueur","nbplaces","nbportes","idcategorietype"
55,"Short",5,3,1
110,"Medium",5,5,2
170,"Long",5,5,3
90,"Medium",5,5,2
115,"Medium",5,5,2
75,"Short",5,5,4
193,"VeryLong",5,5,5
150,"Long",5,5,3
306,"VeryLong",5,5,5
58,"Short",5,3,1
150,"Medium",5,5,2
136,"Medium",5,5,2
197,"Long",5,5,3
200,"VeryLong",5,5,5
125,"Long",5,5,3
165,"Long",7,5,6
90,"Short",5,3,1
150,"Long",7,5,6
245,"VeryLong",5,5,5
103,"Long",7,5,6
147,"Long",5,5,3
65,"Short",5,5,4
125,"Long",7,5,6
272,"VeryLong",5,5,5
135,"Medium",5,5,2
115,"Short",5,5,4
507,"VeryLong",5,5,5
109,"Long",5,5,3
102,"Long",5,5,3
